Title,Author,Genre,Height,Publisher,ID,PublishDate,Description
India from Midnight to Milennium,"Tharoor, Shashi",history,198,Penguin,83,2022,
"World's Greatest Trials, The",,history,210,,84,2011,
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,Penguin,85,2022,
O Jerusalem!,"Lapierre, Dominique",history,217,vikas,86,2018,
"City of Joy, The","Lapierre, Dominique",fiction,177,vikas,87,2010,
Freedom at Midnight,"Lapierre, Dominique",history,167,vikas,88,2011,
"Winter of Our Discontent, The","Steinbeck, John",fiction,196,Penguin,89,2011,
On Education,"Russell, Bertrand",philosophy,203,Routledge,90,2014,
Free Will,"Harris, Sam",philosophy,203,FreePress,91,2022,
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,206,Penguin,92,2019,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,,93,2012,
"Theory of Everything, The","Hawking, Stephen",science,217,Jaico,94,2015,
New Markets & Other Essays,"Drucker, Peter",economics,176,Penguin,95,2020,
Electric Universe,"Bodanis, David",science,201,Penguin,96,2013,
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,Random House,97,2010,
Burning Bright,"Steinbeck, John",fiction,175,Penguin,98,2012,
"Age of Discontuinity, The","Drucker, Peter",economics,178,Random House,99,2012,
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin,100,2017,
Down and Out in Paris & London,"Orwell, George",nonfiction,179,Penguin,101,2011,
Identity & Violence,"Sen, Amartya",philosophy,219,Penguin,102,2012,
Beyond the Three Seas,"Dalrymple, William",history,197,Random House,103,2017,
"World's Greatest Short Stories, The",,fiction,217,Jaico,104,2017,
Talking Straight,"Iacoca, Lee",nonfiction,175,,105,2016,
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage,106,2020,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,,107,2012,
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage,108,2016,
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage,109,2020,
"Great War for Civilization, The","Fisk, Robert",history,197,HarperCollins,110,2019,
We the Living,"Rand, Ayn",fiction,178,Penguin,111,2011,
"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes,112,2020,
History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge,113,2013,
Selected Short Stories,,fiction,215,Jaico,114,2016,
Rationality & Freedom,"Sen, Amartya",economics,213,Springer,115,2011,
